CRASH_DATE,LATITUDE,LONGITUDE
2022-12-29,41.9112,-87.6530
2022-12-29,41.8822,-87.6765
2022-12-29,41.8090,-87.6470
2022-12-29,41.8960,-87.6671
2022-12-29,41.8117,-87.7239
2022-12-29,41.9672,-87.6588
2022-12-29,41.9698,-87.6888
2022-12-29,41.8551,-87.6659
2022-12-29,41.8624,-87.7060
2022-12-29,41.8817,-87.6564
2022-12-29,41.8861,-87.7358
2022-12-29,41.7422,-87.7410
2022-12-29,41.8950,-87.6244
2022-12-29,41.7050,-87.7015
2022-12-29,41.8550,-87.6240
2022-12-29,41.8664,-87.7155
2022-12-29,41.8957,-87.6588
2022-12-29,41.8948,-87.7750
2022-12-29,41.8987,-87.7457
2022-12-29,41.8879,-87.7678
2022-12-29,41.8833,-87.7357
2022-12-29,41.8093,-87.6457
2022-12-29,41.7350,-87.7189
2022-12-29,41.9301,-87.7858
2022-12-29,41.9800,-87.7086
2022-12-29,41.8819,-87.6352
2022-12-29,41.7213,-87.6513
2022-12-29,41.7914,-87.5801
2022-12-29,41.8442,-87.7326
2022-12-29,41.9976,-87.7032
2022-12-29,41.9406,-87.7004
2022-12-29,41.7070,-87.6446
2022-12-29,41.9678,-87.7172
2022-12-29,41.9490,-87.6624
2022-12-29,41.7143,-87.6431
2022-12-29,41.8428,-87.7024
2022-12-29,41.8696,-87.6639
2022-12-29,41.8226,-87.7046
2022-12-29,41.7362,-87.5502
2022-12-29,41.7459,-87.7082
2022-12-29,42.0017,-87.6784
2022-12-29,41.8651,-87.6192
2022-12-29,41.9679,-87.7705
2022-12-29,41.8846,-87.6272
2022-12-29,41.6938,-87.6623
2022-12-29,41.9753,-87.7578
2022-12-29,41.8972,-87.6388
2022-12-29,41.8809,-87.7237
2022-12-29,41.8588,-87.7348
2022-12-29,41.7184,-87.6818
2022-12-29,41.8998,-87.6674
2022-12-29,41.7974,-87.5871
2022-12-29,41.9207,-87.6629
2022-12-29,,
2022-12-29,41.8519,-87.6956
2022-12-29,41.8633,-87.6526
2022-12-29,41.9097,-87.7463
2022-12-29,41.9077,-87.7315
2022-12-29,41.7934,-87.7037
2022-12-29,41.8797,-87.6865
2022-12-29,41.7680,-87.5859
2022-12-29,41.9092,-87.6773
2022-12-29,41.8805,-87.7364
2022-12-29,41.7222,-87.5841
2022-12-29,41.8995,-87.6268
2022-12-29,41.7920,-87.7230
2022-12-29,41.7508,-87.6266
2022-12-29,41.7489,-87.5860
2022-12-29,41.9329,-87.6926
2022-12-29,41.8233,-87.6513
2022-12-29,41.7509,-87.6260
2022-12-29,41.9877,-87.6600
2022-12-29,41.9340,-87.7080
2022-12-29,41.9486,-87.8073
2022-12-29,42.0036,-87.6704
2022-12-29,41.9810,-87.8379
2022-12-29,41.7906,-87.8013
2022-12-29,,
2022-12-29,42.0115,-87.6746
2022-12-29,41.8808,-87.7307
2022-12-29,41.9108,-87.6483
2022-12-29,41.9544,-87.6624
2022-12-29,41.8952,-87.7385
2022-12-29,41.9540,-87.6622
2022-12-29,41.9098,-87.7262
2022-12-29,41.8285,-87.6450
2022-12-29,41.9462,-87.7352
2022-12-29,41.8577,-87.6272
2022-12-29,41.8990,-87.7127
2022-12-29,41.9323,-87.6904
2022-12-29,41.8743,-87.6676
2022-12-29,41.8811,-87.6853
2022-12-29,41.9722,-87.6596
2022-12-29,41.7515,-87.5860
2022-12-29,41.9124,-87.6539
2022-12-29,41.6972,-87.6234
2022-12-29,41.8082,-87.6918
2022-12-29,41.8890,-87.7610
2022-12-29,41.9389,-87.7370
2022-12-29,41.9091,-87.7949
2022-12-29,41.7777,-87.7229
2022-12-29,42.0051,-87.6751
2022-12-29,41.6519,-87.6181
2022-12-29,41.9737,-87.6648
2022-12-29,41.9451,-87.8179
2022-12-29,41.9447,-87.7767
2022-12-29,41.9091,-87.7756
2022-12-29,41.8369,-87.6707
2022-12-29,41.8121,-87.6672
2022-12-29,41.9700,-87.7881
2022-12-29,41.9451,-87.6546
2022-12-29,41.8192,-87.6369
2022-12-29,41.7497,-87.5860
2022-12-29,41.9010,-87.6199
2022-12-29,41.9980,-87.6707
2022-12-29,41.7512,-87.6141
2022-12-29,,
2022-12-29,41.7816,-87.7279
2022-12-29,41.8187,-87.6886
2022-12-29,41.7717,-87.7104
2022-12-29,41.8522,-87.6586
2022-12-29,41.8603,-87.6259
2022-12-29,41.8823,-87.6765
2022-12-29,41.8663,-87.7080
2022-12-29,41.8473,-87.7248
2022-12-29,41.9470,-87.6741
2022-12-29,41.9534,-87.7378
2022-12-29,41.9365,-87.6687
2022-12-29,41.8511,-87.6205
2022-12-29,41.9907,-87.6702
2022-12-29,41.7942,-87.8015
2022-12-29,41.9720,-87.7283
2022-12-29,41.8858,-87.6429
2022-12-29,41.9249,-87.7539
2022-12-29,41.8750,-87.6688
2022-12-29,41.7910,-87.6753
2022-12-29,41.7090,-87.6137
2022-12-29,41.7350,-87.5841
2022-12-29,41.7366,-87.6144
2022-12-29,41.8274,-87.6172
